Année du Baccalauréat;Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
2024;Littérature et langues et cultures de l'Antiquité,Sciences de la vie et de la Terre Spécialité;Licence Génie civil;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Éducation physique, pratiques et culture sportives;D.E  social;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Éducation physique, pratiques et culture sportives;Licence Electronique, Génie électrique, EEA;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Éducation physique, pratiques et culture sportives;Licence Formation générale aux métiers de l ingénieur;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Éducation physique, pratiques et culture sportives;Licence Pluri Langues;0;0.0;0
2024;Sciences de la vie et de la Terre Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;D.E sanitaire;856;502.0;333
2024;Sciences de la vie et de la Terre Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Physique;151;6.0;1
2024;Sciences de la vie et de la Terre Spécialité,Numérique et Sciences Informatiques;BUT Production;241;98.0;43
2024;Sciences de la vie et de la Terre Spécialité,Numérique et Sciences Informatiques;Licence Psychlogie, Sciences cognitives;50;20.0;5
2024;Sciences de la vie et de la Terre Spécialité,Numérique et Sciences Informatiques;Licence STAPS;136;80.0;49
2024;Sciences de la vie et de la Terre Spécialité,Numérique et Sciences Informatiques;Licence Sciences économiques;9;4.0;0
2024;Sciences de la vie et de la Terre Spécialité,Sciences Economiques et Sociales Spécialité;CPGE ECG;206;89.0;29
2024;Sciences de la vie et de la Terre Spécialité,Sciences Economiques et Sociales Spécialité;Licence AES;1851;1290.0;286
2024;Sciences de la vie et de la Terre Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Formation générale aux métiers de l ingénieur;7;1.0;0
2024;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;Autres formations;11;3.0;1
2024;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;DEUST;1;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence L.AS;49;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences politiques;9;1.0;0
2024;Littérature et langues et cultures de l'Antiquité,Mathématiques Spécialité;Licence Physique et chimie;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Numérique et Sciences Informatiques;DEUST;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Numérique et Sciences Informatiques;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Numérique et Sciences Informatiques;Licence Physique et chimie;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Physique-Chimie Spécialité;Licence Electronique, Génie électrique, EEA;0;0.0;0
2024;Mathématiques Spécialité,Humanités, Littérature et Philosophie;Licence LEA;81;61.0;15
