school_name,city,department,parcoursup
Pierre-Gilles-de-Gennes (ex-ENCPB),Paris,75,oui
Prytanée National Militaire,La Flèche,72,oui
Saint-Joseph,Avignon,84,oui
Saint-Stanislas,Nantes,44,oui
Sainte-Marie,Antony,92,oui
Théophile-Gautier,Tarbes,65,oui
Turgot,Paris,75,oui
Victor-Hugo,Besançon,25,oui
Victor-Hugo,Caen,14,oui
Assomption,Rennes,35,oui
Henri-Loritz,Nancy,54,oui
César-Baggio,Lille,59,oui
Gustave-Eiffel,Bordeaux,33,oui
Abulcasis,Rabat,,unknown
Arsonval,St-Maur-des-Fossés,94,oui
Baimbridge,Pointe-à-Pitre,97,oui
Camille-Vernet,Valence,26,oui
Claude-Bernard,Paris,75,oui
Cormontaigne,Metz,57,oui
Couffignal,Strasbourg,67,oui
Errazi,El Jadida,,unknown
Etienne-Mimard,St-Etienne,42,oui
Frédéric-Mistral,Avignon,84,oui
Gustave-Eiffel,Dijon,21,oui
Ibn Al Ghazi,Rabat,,unknown
Ibn-Timiya,Marrakech,,unknown
Jean-Baptiste-Say,Paris,75,oui
Jean-Bart,Dunkerque,59,oui
Jean-Dautet,La Rochelle,17,oui
Jean-Jaurès,Argenteuil,95,oui
Jean-Jaurès - Condorcet,Montreuil,93,oui
Jean-Perrin,Marseille,13,oui
Joliot Curie,Rennes,35,oui
Jules-Ferry,Versailles,78,oui
Jules-Garnier,Nouméa,983,oui
L'Essouriau,Les Ulis,91,oui
La Fayette,Clermont-Ferrand,63,oui
La Résidence,Casablanca,,unknown
Laetitia-Bonaparte,Ajaccio,20,oui
Lalande,Bourg-en-Bresse,01,oui
Leconte-de-Lisle,St-Denis-de-La Réunion,974,oui
Léon-Gontran-Damas,Cayenne,,oui
Les Eucalyptus,Nice,06,oui
Louis-Pasteur,Neuilly-sur-Seine,92,oui
Mohamed-V,Casablanca,,unknown
Moissan,Meaux,77,oui
Moulay Idriss,Fès,,unknown
Moulay Youssef,Rabat,,unknown
Omar Ibn Al-Khattab,Méknès,,unknown
