cpge_type,panier_name,school_name,city,department,taux_integration_pct,moyenne_bac,moyenne_multi_ans_pct,rang_multi_ans,parcoursup
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Chartreux,Lyon,69,37.5,,30.6,8e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Pierre-de-Fermat,Toulouse,31,32.5,,24.1,12e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Champollion,Grenoble,38,30,,26.2,11e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Le Parc,Lyon,69,29.5,,29.7,9e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Janson-de-Sailly,Paris,75,27.3,,34.9,7e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Chateaubriand,Rennes,35,25,,23.9,13e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Ipesup,Paris,75,25,,,,non
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Saint-Jean,Douai,59,25,,18.9,15e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Stanislas,Cannes,06,23.8,,8.5,24e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",ND-des-Minimes,Lyon,69,23.5,,15.8,17e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Marcelin-Berthelot,St-Maur-des-Fossés,94,22.7,,15.2,18e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Ampère,Lyon,69,21.1,,19,14e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",St-Michel-de-Picpus,Paris,75,15.8,,16.1,16e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",St-Vincent-Providence,Rennes,35,15.8,,11.9,21e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Kléber,Strasbourg,67,12,,11.8,22e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Montaigne,Bordeaux,33,11.8,,8,27e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Blaise-Pascal,Clermont-Ferrand,63,11.1,,6,28e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Carnot,Paris,75,8.9,,8.1,25e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Saint-Just,Lyon,69,5,,12.7,20e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Berthollet,Annecy,74,4.5,,8.1,25e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Carnot,Dijon,21,4.3,,5.3,29e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Montaigne,Paris,75,4.3,,10,23e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Saint-Charles,Marseille,13,4.2,,1.3,34e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Faidherbe,Lille,59,3.7,,2.8,32e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Charles-De-Gaulle,Caen,14,3.3,,3.1,30e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Alfred-Kastler,Cergy-Pontoise,95,0,,,,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Clemenceau,Reims,51,0,,0,35e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Henri-Poincaré,Nancy,54,0,,1.8,33e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Kerichen,Brest,29,0,,0,35e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Ozenne,Toulouse,31,0,,3,31e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Ste-Marie-Gd-Lebrun,Bordeaux,33,0,,0,35e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",La Prépa Autrement,Paris,75,,,,,non
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",ND-de-Sainte-Croix,Neuilly-sur-Seine,92,,,27.1,10e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Alexandre-Dumas (ex-Florent-Schmitt),St-Cloud,92,,,,,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",St-Joseph-du-Loquidy,Nantes,44,,,,,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Aliénor d'Aquitaine,Poitiers,86,,,,,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Claude-Fauriel,St-Etienne,42,,,,,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Gaston-Berger,Lille,59,,,,,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",La Nativité,Aix-en-Provence,13,,,,,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Marguerite-Jauzelon (ex-Bellepierre),St-Denis-de-la-Réunion,974,,,,,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Philippine-Duchesne Itec-Boisfleury,Grenoble,38,,,,,oui
